"","symbol","date","CARD.x","DISC.x","HACK.x","INSD.x","PHYS.x","PORT.x","STAT.x","UNKN.x","IS_EFFECTIVE","MATERIAL_WEAKNESS","SIG_DEFICIENCY","IC_OP_TYPE","AUDITOR_FKEY","AUDITOR_AGREES","COMBINED_IC_OP","IC_IS_EFFECTIVE","AUDIT_FEES","NON_AUDIT_FEES","BENEFITS_FEES","IT_FEES","TAX_FEES","AUDIT_RELATED_FEES","OTHER_FEES","CARD.y","DISC.y","HACK.y","INSD.y","PHYS.y","PORT.y","STAT.y","UNKN.y","BRCH"
"127","AMD",2012,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"128","AMD",2013,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"129","AMD",2013,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,"1",3868890,196234,0,0,52706,143528,0,0,0,0,0,0,0,0,0,0
"130","AMD",2013,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"131","AMD",2013,0,0,0,1,0,0,0,0,1,0,0,1,2,NA,0,"1",3868890,196234,0,0,52706,143528,0,0,0,0,0,0,0,0,0,0
"132","AMD",2013,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"133","AMED",2015,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"134","AMED",2015,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"135","AMED",2015,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,"1",1282000,400424,0,0,362000,28327,10097,0,0,0,0,0,0,0,0,0
"136","AMED",2015,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"137","AMED",2015,0,0,1,0,0,0,0,0,1,0,1,1,4,1,0,"1",1282000,400424,0,0,362000,28327,10097,0,0,0,0,0,0,0,0,0
"138","AMP",2005,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"139","AMP",2005,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"140","AMTD",2005,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,"0",954884,494638,0,0,103546,291371,99721,0,0,0,0,0,0,0,0,0
"141","AMTD",2005,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"142","AMTD",2005,0,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"143","AMTD",2005,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"144","AMTD",2005,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,"0",954884,494638,0,0,103546,291371,99721,0,0,0,0,0,0,0,0,0
"145","AMTD",2006,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,"1",2045000,169000,0,0,0,144000,25000,0,0,0,0,0,0,0,0,0
"146","AMTD",2006,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"147","AMTD",2006,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,"1",2045000,169000,0,0,0,144000,25000,0,0,0,0,0,0,0,0,0
"148","AMTD",2006,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
