ticker,date,card,disc,hack,insd,phys,port,stat,unkn,effective_303,mat_weak_303,sig_def_303,auto_1,auditor_agrees_303,effective_404,audit_fee,non_audit_fee,tax_fees
INTU,2015,0,0,0,0,0,0,0,1,1,0,0,1,1,1,4189000,142000,51000
INTU,2015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4189000,142000,51000
INTU,2015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4189000,142000,51000
JACK,2011,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1010000,30000,30000
JACK,2011,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1010000,30000,30000
JACK,2011,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1010000,30000,30000
JACK,2011,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1010000,30000,30000
JACK,2011,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1010000,30000,30000
JLL,2010,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5518000,1998000,1184000
JLL,2010,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5518000,1998000,1184000
JLL,2010,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5518000,1998000,1184000
JLL,2010,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
JLL,2010,0,0,0,0,0,1,0,0,1,0,0,1,0,1,5518000,1998000,1184000
JWN,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5518000,1998000,1184000
JWN,2013,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2357784,385784,75000
JWN,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2357784,385784,75000
JWN,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2357784,385784,75000
JWN,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2357784,385784,75000
KBH,2007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2357784,385784,75000
KBH,2007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2357784,385784,75000
KBH,2007,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1348000,56000,25000
KBH,2007,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1348000,56000,25000
KBH,2007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1348000,56000,25000
KBR,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1348000,56000,25000
KBR,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13100000,876000,370000
KBR,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7144000,551000,500000
KBR,2011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7144000,551000,500000
KBR,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,1,7144000,551000,500000
KEY,2006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7144000,551000,500000
KEY,2006,0,0,0,0,0,1,0,0,1,0,0,1,1,1,7168000,2558000,1161000
KEY,2006,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7168000,2558000,1161000
KEY,2006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7168000,2558000,1161000
KEY,2006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7168000,2558000,1161000
KEY,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
KEY,2006,0,1,0,0,0,0,0,0,1,0,0,1,1,1,7168000,2558000,1161000
KEY,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7168000,2558000,1161000
KEY,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7168000,2558000,1161000
KEY,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7168000,2558000,1161000
KND,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13100000,876000,370000
KND,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13100000,876000,370000
KND,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3327324,307794,0
KND,2012,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3327324,307794,0
KND,2012,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3327324,307794,0
KODK,2005,0,0,0,0,0,1,0,0,0,1,0,1,1,0,17800000,2900000,2600000
KODK,2005,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17800000,2900000,2600000
KODK,2005,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17800000,2900000,2600000
KODK,2005,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17800000,2900000,2600000
KODK,2005,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13100000,876000,370000
LMT,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17250000,3535000,2275000
LMT,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17250000,3535000,2275000
LMT,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17250000,3535000,2275000
LMT,2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LMT,2011,0,0,1,0,0,0,0,0,1,0,0,1,0,1,17250000,3535000,2275000
LMT,2014,0,0,1,0,0,0,0,0,1,0,0,1,1,1,18775000,4415000,2545000
LMT,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18775000,4415000,2545000
LMT,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18775000,4415000,2545000
LMT,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18775000,4415000,2545000
LMT,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LNKD,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2589000,1361000,1311000
LNKD,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2589000,1361000,1311000
LNKD,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2589000,1361000,1311000
LNKD,2012,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2589000,1361000,1311000
LNKD,2012,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2589000,1361000,1311000
LPLA,2007,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2589000,1361000,1311000
LPLA,2007,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2007,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13100000,876000,370000
LPLA,2008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2010,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
LPLA,2010,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13100000,876000,370000
